TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
9420,74,18942,320,285,1092,10693,37,15602,205,171,1021,11102,38,20325,371,316,1575,12769,47,17398,271,204,1286,14437,154,19816,100,100,1000,10504,123,13498,182,144,1149,15090,51,23791,258,203,1480,12323,9,16731,212,152,1389,7498,84,7979,305,252,1424,7905,130,5566,261,226,1003,1
14585,61,33881,100,100,1000,10095,47,12152,368,327,1068,16608,113,23129,120,63,1013,14256,152,21648,276,241,1102,12027,44,17770,100,100,1000,12551,106,26878,457,399,1561,14694,150,20359,296,241,1195,18060,51,23780,100,100,1000,9007,120,10078,100,100,1000,8468,130,6543,185,148,1161,1
11653,148,15222,416,380,1046,12562,49,30208,100,100,1000,13562,31,18679,100,100,1000,12551,143,13200,100,100,1000,14653,131,19984,100,100,1000,16261,142,42783,100,100,1000,14020,56,29673,100,100,1000,10463,30,16708,100,100,1000,12081,110,25239,100,100,1000,7713,98,6879,100,100,1000,1
12097,61,24760,269,235,1091,5963,124,8418,100,100,1000,14206,86,17556,100,100,1000,8288,76,10738,371,316,1575,10285,49,14805,262,225,1118,11201,58,12579,100,100,1000,12297,150,20854,122,80,1013,8884,159,13666,100,100,1000,7429,130,6483,100,100,1000,5858,84,5504,100,100,1000,1
6743,128,8790,416,380,1046,11857,105,14491,100,100,1000,8952,86,14788,100,100,1000,8554,88,8366,76,53,987,8052,55,13485,226,193,1183,9614,11,11803,327,289,1067,9564,150,13289,100,100,1000,12445,30,26411,100,100,1000,5309,78,2804,382,345,1223,7357,98,10097,210,179,1109,0
7135,116,6589,347,314,1078,6722,105,7075,110,80,1066,7165,38,9931,315,272,1178,6998,126,7295,260,204,1534,7960,67,9099,273,239,1034,6409,162,11146,100,100,1000,10247,153,8035,353,296,1258,5619,30,8811,100,100,1000,7345,110,8771,100,100,1000,3822,84,3732,100,100,1000,1
8302,103,7233,100,100,1000,8178,48,10886,134,70,1437,9964,60,9448,100,100,1000,8506,143,7155,164,126,1137,8431,66,10419,100,100,1000,11358,44,15442,328,297,1083,7454,51,4411,100,100,1000,10686,111,11445,205,175,1008,4981,78,1773,100,100,1000,7137,121,5855,100,100,1000,0
11487,61,17007,259,219,1058,13874,49,26433,201,164,1399,14277,106,25257,457,399,1561,7793,67,8375,100,100,1000,12919,44,9863,134,70,1437,11515,2,18533,277,209,1373,16639,51,33433,270,203,1555,15386,71,23502,162,124,1206,8689,130,5545,100,100,1000,8401,82,6953,203,172,1100,1
13005,44,14415,328,297,1083,11152,8,15425,100,100,1000,15912,144,21235,100,100,1000,11059,29,13996,100,100,1000,12515,34,18405,327,289,1067,13241,158,18922,100,100,1000,13112,138,21670,100,100,1000,14563,150,20431,240,197,1231,8745,55,11974,165,127,1079,9350,110,16200,100,100,1000,1
11107,61,16123,100,100,1000,10284,49,17668,100,100,1000,13019,41,19326,434,379,1542,9390,144,14693,222,182,982,11794,142,22484,100,100,1000,11239,66,16989,361,299,1656,12083,138,14922,100,100,1000,10233,150,18350,349,314,1194,7661,98,5757,100,100,1000,6703,102,7894,233,196,1147,1
11338,48,25016,100,100,1000,14247,52,21929,131,80,1198,14071,63,16544,100,100,1000,16673,67,27956,457,399,1561,12935,96,21988,100,100,1000,16046,123,36324,100,100,1000,16546,118,33351,256,217,1026,14885,138,25444,456,414,1107,8892,13,12393,100,100,1000,10368,95,10980,100,100,1000,0
9238,103,7995,100,100,1000,12432,23,24819,100,100,1000,10458,109,17059,187,153,1090,12880,41,19677,100,100,1000,9017,123,16991,100,100,1000,13707,91,28045,100,100,1000,11339,51,24643,100,100,1000,14778,159,37711,100,100,1000,8231,95,10342,111,78,1098,8445,125,11817,100,100,1000,0
14258,52,25066,100,100,1000,15322,153,28924,100,100,1000,15527,38,34628,100,100,1000,14342,67,16099,100,100,1000,23361,158,44061,100,100,1000,20903,8,51408,331,291,1053,18576,51,31798,100,100,1000,18677,138,41460,119,80,1010,12159,102,11962,100,100,1000,11326,126,24215,100,100,1000,1
