TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
9420,74,18942,0.53,320,285,1092,10693,37,15602,0.55,205,171,1021,11102,38,20325,0.54,371,316,1575,12769,47,17398,0.57,271,204,1286,14437,154,19816,0.5,100,100,1000,10504,123,13498,0.56,182,144,1149,15090,51,23791,0.56,258,203,1480,12323,9,16731,0.58,212,152,1389,7498,84,7979,0.55,305,252,1424,7905,130,5566,0.54,261,226,1003,1
14585,61,33881,0.5,100,100,1000,10095,47,12152,0.53,368,327,1068,16608,113,23129,0.66,120,63,1013,14256,152,21648,0.53,276,241,1102,12027,44,17770,0.5,100,100,1000,12551,106,26878,0.53,457,399,1561,14694,150,20359,0.55,296,241,1195,18060,51,23780,0.5,100,100,1000,9007,120,10078,0.5,100,100,1000,8468,130,6543,0.56,185,148,1161,1
11653,148,15222,0.52,416,380,1046,12562,49,30208,0.5,100,100,1000,13562,31,18679,0.5,100,100,1000,12551,143,13200,0.5,100,100,1000,14653,131,19984,0.5,100,100,1000,16261,142,42783,0.5,100,100,1000,14020,56,29673,0.5,100,100,1000,10463,30,16708,0.5,100,100,1000,12081,110,25239,0.5,100,100,1000,7713,98,6879,0.5,100,100,1000,1
12097,61,24760,0.53,269,235,1091,5963,124,8418,0.5,100,100,1000,14206,86,17556,0.5,100,100,1000,8288,76,10738,0.54,371,316,1575,10285,49,14805,0.54,262,225,1118,11201,58,12579,0.5,100,100,1000,12297,150,20854,0.6,122,80,1013,8884,159,13666,0.5,100,100,1000,7429,130,6483,0.5,100,100,1000,5858,84,5504,0.5,100,100,1000,1
6743,128,8790,0.52,416,380,1046,11857,105,14491,0.5,100,100,1000,8952,86,14788,0.5,100,100,1000,8554,88,8366,0.59,76,53,987,8052,55,13485,0.54,226,193,1183,9614,11,11803,0.53,327,289,1067,9564,150,13289,0.5,100,100,1000,12445,30,26411,0.5,100,100,1000,5309,78,2804,0.53,382,345,1223,7357,98,10097,0.54,210,179,1109,0
7135,116,6589,0.52,347,314,1078,6722,105,7075,0.58,110,80,1066,7165,38,9931,0.54,315,272,1178,6998,126,7295,0.56,260,204,1534,7960,67,9099,0.53,273,239,1034,6409,162,11146,0.5,100,100,1000,10247,153,8035,0.54,353,296,1258,5619,30,8811,0.5,100,100,1000,7345,110,8771,0.5,100,100,1000,3822,84,3732,0.5,100,100,1000,1
8302,103,7233,0.5,100,100,1000,8178,48,10886,0.66,134,70,1437,9964,60,9448,0.5,100,100,1000,8506,143,7155,0.57,164,126,1137,8431,66,10419,0.5,100,100,1000,11358,44,15442,0.52,328,297,1083,7454,51,4411,0.5,100,100,1000,10686,111,11445,0.54,205,175,1008,4981,78,1773,0.5,100,100,1000,7137,121,5855,0.5,100,100,1000,0
11487,61,17007,0.54,259,219,1058,13874,49,26433,0.55,201,164,1399,14277,106,25257,0.53,457,399,1561,7793,67,8375,0.5,100,100,1000,12919,44,9863,0.66,134,70,1437,11515,2,18533,0.57,277,209,1373,16639,51,33433,0.57,270,203,1555,15386,71,23502,0.57,162,124,1206,8689,130,5545,0.5,100,100,1000,8401,82,6953,0.54,203,172,1100,1
13005,44,14415,0.52,328,297,1083,11152,8,15425,0.5,100,100,1000,15912,144,21235,0.5,100,100,1000,11059,29,13996,0.5,100,100,1000,12515,34,18405,0.53,327,289,1067,13241,158,18922,0.5,100,100,1000,13112,138,21670,0.5,100,100,1000,14563,150,20431,0.55,240,197,1231,8745,55,11974,0.57,165,127,1079,9350,110,16200,0.5,100,100,1000,1
11107,61,16123,0.5,100,100,1000,10284,49,17668,0.5,100,100,1000,13019,41,19326,0.53,434,379,1542,9390,144,14693,0.55,222,182,982,11794,142,22484,0.5,100,100,1000,11239,66,16989,0.55,361,299,1656,12083,138,14922,0.5,100,100,1000,10233,150,18350,0.53,349,314,1194,7661,98,5757,0.5,100,100,1000,6703,102,7894,0.54,233,196,1147,1
