TeamBlueTopChampionName,TeamBlueTopWinRate,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopChampionName,TeamRedTopWinRate,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleChampionName,TeamBlueJungleWinRate,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleChampionName,TeamRedJungleWinRate,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidChampionName,TeamBlueMidWinRate,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidChampionName,TeamRedMidWinRate,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCChampionName,TeamBlueADCWinRate,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCChampionName,TeamRedADCWinRate,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportChampionName,TeamBlueSupportWinRate,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportChampionName,TeamRedSupportWinRate,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,GoldBalanceTop,GoldBalanceJungle,GoldBalanceMid,GoldBalanceADC,GoldBalanceSupport,DamageBalanceTop,DamageBalanceJungle,DamageBalanceMid,DamageBalanceADC,DamageBalanceSupport
74,0.53,320,285,1092,37,0.55,205,171,1021,38,0.54,371,316,1575,47,0.57,271,204,1286,154,0.5,100,100,1000,123,0.56,182,144,1149,51,0.56,258,203,1480,9,0.58,212,152,1389,84,0.55,305,252,1424,130,0.54,261,226,1003,-1273,-1667,3933,2767,-407,3340,2927,6318,7060,2413
61,0.5,100,100,1000,47,0.53,368,327,1068,113,0.66,120,63,1013,152,0.53,276,241,1102,44,0.5,100,100,1000,106,0.53,457,399,1561,150,0.55,296,241,1195,51,0.5,100,100,1000,120,0.5,100,100,1000,130,0.56,185,148,1161,4490,2352,-524,-3366,539,21729,1481,-9108,-3421,3535
148,0.52,416,380,1046,49,0.5,100,100,1000,31,0.5,100,100,1000,143,0.5,100,100,1000,131,0.5,100,100,1000,142,0.5,100,100,1000,56,0.5,100,100,1000,30,0.5,100,100,1000,110,0.5,100,100,1000,98,0.5,100,100,1000,-909,1011,-1608,3557,4368,-14986,5479,-22799,12965,18360
61,0.53,269,235,1091,124,0.5,100,100,1000,86,0.5,100,100,1000,76,0.54,371,316,1575,49,0.54,262,225,1118,58,0.5,100,100,1000,150,0.6,122,80,1013,159,0.5,100,100,1000,130,0.5,100,100,1000,84,0.5,100,100,1000,6134,5918,-916,3413,1571,16342,6818,2226,7188,979
128,0.52,416,380,1046,105,0.5,100,100,1000,86,0.5,100,100,1000,88,0.59,76,53,987,55,0.54,226,193,1183,11,0.53,327,289,1067,150,0.5,100,100,1000,30,0.5,100,100,1000,78,0.53,382,345,1223,98,0.54,210,179,1109,-5114,398,-1562,-2881,-2048,-5701,6422,1682,-13122,-7293
116,0.52,347,314,1078,105,0.58,110,80,1066,38,0.54,315,272,1178,126,0.56,260,204,1534,67,0.53,273,239,1034,162,0.5,100,100,1000,153,0.54,353,296,1258,30,0.5,100,100,1000,110,0.5,100,100,1000,84,0.5,100,100,1000,413,167,1551,4628,3523,-486,2636,-2047,-776,5039
103,0.5,100,100,1000,48,0.66,134,70,1437,60,0.5,100,100,1000,143,0.57,164,126,1137,66,0.5,100,100,1000,44,0.52,328,297,1083,51,0.5,100,100,1000,111,0.54,205,175,1008,78,0.5,100,100,1000,121,0.5,100,100,1000,124,1458,-2927,-3232,-2156,-3653,2293,-5023,-7034,-4082
61,0.54,259,219,1058,49,0.55,201,164,1399,106,0.53,457,399,1561,67,0.5,100,100,1000,44,0.66,134,70,1437,2,0.57,277,209,1373,51,0.57,270,203,1555,71,0.57,162,124,1206,130,0.5,100,100,1000,82,0.54,203,172,1100,-2387,6484,1404,1253,288,-9426,16882,-8670,9931,-1408
44,0.52,328,297,1083,8,0.5,100,100,1000,144,0.5,100,100,1000,29,0.5,100,100,1000,34,0.53,327,289,1067,158,0.5,100,100,1000,138,0.5,100,100,1000,150,0.55,240,197,1231,55,0.57,165,127,1079,110,0.5,100,100,1000,1853,4853,-726,-1451,-605,-1010,7239,-517,1239,-4226
61,0.5,100,100,1000,49,0.5,100,100,1000,41,0.53,434,379,1542,144,0.55,222,182,982,142,0.5,100,100,1000,66,0.55,361,299,1656,138,0.5,100,100,1000,150,0.53,349,314,1194,98,0.5,100,100,1000,102,0.54,233,196,1147,823,3629,555,1850,958,-1545,4633,5495,-3428,-2137
48,0.5,100,100,1000,52,0.62,131,80,1198,63,0.5,100,100,1000,67,0.53,457,399,1561,96,0.5,100,100,1000,123,0.5,100,100,1000,118,0.54,256,217,1026,138,0.52,456,414,1107,13,0.5,100,100,1000,95,0.5,100,100,1000,-2909,-2602,-3111,1661,-1476,3087,-11412,-14336,7907,1413
103,0.5,100,100,1000,23,0.5,100,100,1000,109,0.55,187,153,1090,41,0.5,100,100,1000,123,0.5,100,100,1000,91,0.5,100,100,1000,51,0.5,100,100,1000,159,0.5,100,100,1000,95,0.59,111,78,1098,125,0.5,100,100,1000,-3194,-2422,-4690,-3439,-214,-16824,-2618,-11054,-13068,-1475
52,0.5,100,100,1000,153,0.5,100,100,1000,38,0.5,100,100,1000,67,0.5,100,100,1000,158,0.5,100,100,1000,8,0.53,331,291,1053,51,0.5,100,100,1000,138,0.6,119,80,1010,102,0.5,100,100,1000,126,0.5,100,100,1000,-1064,1185,2458,-101,833,-3858,18529,-7347,-9662,-12253
105,0.56,211,167,1234,90,0.5,100,100,1000,117,0.57,168,126,1061,14,0.5,100,100,1000,57,0.5,100,100,1000,123,0.5,100,100,1000,10,0.5,100,100,1000,138,0.5,100,100,1000,121,0.5,100,100,1000,98,0.56,185,148,1161,5258,422,1795,-4591,-935,4378,-2798,-1251,-11995,-830
44,0.52,328,297,1083,103,0.53,251,221,953,104,0.53,434,379,1542,14,0.54,270,234,1229,91,0.57,277,209,1373,7,0.63,107,62,1136,140,0.5,100,100,1000,9,0.53,222,197,1107,110,0.5,100,100,1000,130,0.54,333,280,1367,-1473,516,1050,-2139,2717,5079,16831,4553,-16139,16991
104,0.53,434,379,1542,94,0.53,269,235,1091,123,0.56,175,137,1330,39,0.5,100,100,1000,124,0.54,372,317,1471,96,0.5,100,100,1000,51,0.54,256,217,1026,138,0.5,100,100,1000,8,0.62,124,75,1388,7,0.63,107,62,1136,-2744,-5954,964,1615,939,-14353,-11550,5163,2894,-121
40,0.5,100,100,1000,61,0.5,100,100,1000,88,0.5,100,100,1000,104,0.5,100,100,1000,140,0.5,100,100,1000,141,0.5,100,100,1000,139,0.5,100,100,1000,18,0.5,100,100,1000,156,0.5,100,100,1000,78,0.56,260,204,1534,6239,1761,3094,-4815,-1339,5173,-1105,11405,-25785,8134
76,0.5,100,100,1000,37,0.5,100,100,1000,144,0.5,100,100,1000,143,0.5,100,100,1000,34,0.53,366,326,1033,162,0.54,285,240,1355,118,0.5,100,100,1000,138,0.5,100,100,1000,55,0.54,261,221,1017,110,0.5,100,100,1000,-4572,-908,-1188,7356,-1858,-6977,5863,-14280,22472,-2262
48,0.5,100,100,1000,74,0.5,100,100,1000,149,0.5,100,100,1000,143,0.5,100,100,1000,70,0.53,368,327,1068,123,0.52,456,414,1107,51,0.56,233,186,1219,159,0.54,256,217,1026,151,0.5,100,100,1000,15,0.5,100,100,1000,409,833,3320,4228,2379,3814,4021,3937,9239,8664
106,0.62,117,72,1006,48,0.66,134,70,1437,63,0.5,100,100,1000,67,0.55,247,202,1313,66,0.54,372,317,1471,123,0.5,100,100,1000,138,0.6,84,57,1192,51,0.5,100,100,1000,15,0.54,333,280,1367,72,0.5,100,100,1000,-1068,1588,660,5939,2064,266,3380,5238,8528,1427
117,0.52,412,380,1067,154,0.6,101,66,1076,144,0.55,240,200,1192,76,0.54,371,316,1575,158,0.5,100,100,1000,145,0.5,100,100,1000,11,0.5,100,100,1000,50,0.5,100,100,1000,55,0.5,100,100,1000,110,0.5,100,100,1000,-1059,1026,2100,-5078,-4859,-6297,2551,-6377,-3760,-14296
21,0.61,116,74,1225,117,0.5,100,100,1000,28,0.56,175,137,1330,67,0.51,437,413,1074,131,0.6,128,84,1363,124,0.59,111,78,1098,150,0.52,451,415,1199,30,0.57,148,112,1020,8,0.58,115,83,1060,13,0.58,200,143,1341,902,-2473,1764,5863,2153,6466,2157,-5592,20183,7926
61,0.53,269,235,1091,146,0.5,100,100,1000,86,0.5,100,100,1000,144,0.5,100,100,1000,49,0.52,412,380,1067,124,0.5,100,100,1000,54,0.5,100,100,1000,51,0.58,179,128,1282,73,0.53,423,379,1064,101,0.5,100,100,1000,4785,-608,2253,2838,1220,10828,4023,2701,-2183,3411
20,0.5,100,100,1000,52,0.5,100,100,1000,157,0.55,150,122,1028,88,0.54,244,211,1080,153,0.5,100,100,1000,8,0.5,100,100,1000,138,0.52,393,369,1045,51,0.55,296,241,1195,121,0.53,458,410,1145,55,0.5,100,100,1000,-981,-2898,-533,-3734,-2160,2106,-5065,-4570,-1945,-3849
19,0.5,100,100,1000,48,0.5,100,100,1000,56,0.57,153,116,1005,89,0.52,504,463,1003,158,0.5,100,100,1000,70,0.56,233,186,1219,51,0.5,100,100,1000,9,0.5,100,100,1000,15,0.5,100,100,1000,130,0.55,305,252,1424,-2168,2605,-2219,-1133,-99,-6014,25893,-5775,-4720,1049
90,0.5,100,100,1000,92,0.55,274,222,1060,48,0.51,437,413,1074,67,0.5,100,100,1000,124,0.5,100,100,1000,2,0.5,100,100,1000,159,0.5,100,100,1000,118,0.5,100,100,1000,15,0.5,100,100,1000,130,0.5,100,100,1000,5988,-482,1725,-255,270,17107,-1890,9983,4849,-3173
105,0.64,136,75,1434,49,0.56,211,167,1234,28,0.5,100,100,1000,143,0.5,100,100,1000,2,0.52,419,380,1212,140,0.53,406,363,1246,159,0.55,220,180,1077,139,0.5,100,100,1000,121,0.5,100,100,1000,55,0.5,100,100,1000,1109,4949,3151,1800,1957,-2039,5903,13604,4589,-12556
90,0.53,320,285,1092,48,0.5,100,100,1000,143,0.55,222,182,982,39,0.5,100,100,1000,2,0.5,100,100,1000,126,0.56,260,204,1534,51,0.5,100,100,1000,56,0.5,100,100,1000,17,0.71,66,27,1010,84,0.5,100,100,1000,1479,1081,4969,2509,2513,13684,7385,5562,-11296,4746
154,0.5,100,100,1000,38,0.53,320,285,1092,39,0.53,366,326,1033,24,0.5,100,100,1000,112,0.5,100,100,1000,153,0.5,100,100,1000,30,0.5,100,100,1000,53,0.55,165,136,1027,42,0.5,100,100,1000,84,0.5,100,100,1000,-4189,-3654,-1522,-2065,1065,-16043,-10784,-3163,-5898,15927
